url,error
http://ufcstats.com/fight-details/68326025db2d8f2a,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/4dfc2840c97ffa71,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ee1da0f9a06ea0ae,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8b7f63980b08d2ce,'NoneType' object is not iterable
http://ufcstats.com/fight-details/109cdaeb21549bcc,'NoneType' object is not iterable
http://ufcstats.com/fight-details/34cd2d9b5eddf14f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0349606b5b992dec,'NoneType' object is not iterable
http://ufcstats.com/fight-details/83c354730b54cc61,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9a1206b4e9413a74,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b1aa2a2e7a56667b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4a4813e8407a2e0a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a3355e0d592bdbbc,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e935a2b543d057e5,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a41f67bc1174ad85,'NoneType' object is not iterable
http://ufcstats.com/fight-details/bcb38a9d29822d3d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8192d10021f932f9,'NoneType' object is not iterable
http://ufcstats.com/fight-details/54fb7dd9de96dfcf,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/bc7147fd7b8db8e9,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d4ce05bd60e091d7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3c98de092f314d9e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b2313812d9a6ace9,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3963c77bd1628165,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b51131ac1f50b067,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d9f0851db39067ec,'NoneType' object is not iterable
http://ufcstats.com/fight-details/bb738930036cfeba,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b48fdc15154b542e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9ace397817d67f9e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4d7231ec867553d3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/473ecef5e925971d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/da7d61dfe3989093,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f3e7ac4055e7a453,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7332fecfd9ce88a6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/fe7c434ced7759e5,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4415c82e232471a9,'NoneType' object is not iterable
http://ufcstats.com/fight-details/bb4b3fc223c227b8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7f60017ac91f762b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/43a6c66af55008ad,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6d47fed801b6516d,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/787715a9030ddb2b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7d19db5befd8ddde,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3459dd26c5ceb7d5,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1ef98bfca49d53d5,'NoneType' object is not iterable
http://ufcstats.com/fight-details/2b277a2b1cb05660,'NoneType' object is not iterable
http://ufcstats.com/fight-details/31bd98c45d06a038,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a3731e863522a698,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f83616f226c0cffe,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e754b5ac0b8c1c81,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5c22963d44ab28e2,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7458b1b3923fc2df,'NoneType' object is not iterable
http://ufcstats.com/fight-details/860ba4c51eca6a7d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f161d511b7a973fb,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e8e483c38c643e66,'NoneType' object is not iterable
http://ufcstats.com/fight-details/dc51846a645f0428,'NoneType' object is not iterable
http://ufcstats.com/fight-details/aa96b8ec8e7266b4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/88e09c269e38ad7e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e8ac219311ea7d0b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ef2d2eeca1652295,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f2a79c82c850a474,'NoneType' object is not iterable
http://ufcstats.com/fight-details/66b5615704b18de0,'NoneType' object is not iterable
http://ufcstats.com/fight-details/815604a4d1b68cb6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/582d3304aed63b1a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5b959d6c68d6daa0,'NoneType' object is not iterable
http://ufcstats.com/fight-details/27e7bfc9294eb37d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8fc5219c6e0e6dc6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/dd5457699e3aca9c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/209e1ac3966c6c41,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7286a725cb39945b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5485d6f729e8b4b0,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e22f3f1b19d4b51c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0c760ef7447f3252,'NoneType' object is not iterable
http://ufcstats.com/fight-details/39ce700e6cd0c49f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3c28c251bac3034b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b89c885da2c9bce4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ee84a0b122cd217a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/024817f9b28943ab,'NoneType' object is not iterable
http://ufcstats.com/fight-details/526b3c44a3955726,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d3fbdc3cb3efc7aa,'NoneType' object is not iterable
http://ufcstats.com/fight-details/76f349796a3862cc,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9ebd955712f8e6e3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/07005006dce71011,'NoneType' object is not iterable
http://ufcstats.com/fight-details/042ea219e5e46f84,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f77022dfc627e121,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b2f16264b43cd091,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/40c747f63d8cc6e9,'NoneType' object is not iterable
http://ufcstats.com/fight-details/898bb2a421ae58d6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/46c89cdd835e002c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/167ef9b08acba0a7,'NoneType' object is not iterable
http://ufcstats.com/fight-details/afe71c76155e7522,'NoneType' object is not iterable
http://ufcstats.com/fight-details/462650d0632a2258,'NoneType' object is not iterable
http://ufcstats.com/fight-details/996ddac74a29310e,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/ca52d846efa59f8d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/73914b2b72c9f875,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1ba7b5adb35da81a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6a2e067492347f51,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b777e38b681f52de,'NoneType' object is not iterable
http://ufcstats.com/fight-details/6c846719d1f2c568,'NoneType' object is not iterable
http://ufcstats.com/fight-details/209c6e0c2f1bd12c,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/c2ed5a38a690b302,'NoneType' object is not iterable
http://ufcstats.com/fight-details/81354e750dd248fd,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b0aee0248b292201,'NoneType' object is not iterable
http://ufcstats.com/fight-details/61fa503798568376,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/3618566df6c6a26e,'NoneType' object is not iterable
http://ufcstats.com/fight-details/b30407b833e96f96,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f1b2f55ee43e3b8b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a4eb555e48847359,'NoneType' object is not iterable
