fighter,prior_to_date,rating,rating_deviation,volatility
Corey Anderson,2014-12-06,1662.3108949760367,290.3189646746798,0.059999999975475136
Corey Anderson,2015-04-18,1750.5421139054627,256.3451747345476,0.059999999975475136
Corey Anderson,2015-09-05,1574.6326443209557,219.55693597547122,0.06000005256128015
Corey Anderson,2015-11-07,1688.730994357698,197.68970242972546,0.060000106965284614
Corey Anderson,2016-03-05,1763.023432307446,175.4959150937459,0.060000076816965335
Corey Anderson,2016-05-14,1824.7468891212975,159.27609578174824,0.06000004274349441
Corey Anderson,2016-12-09,1792.0357737241504,148.53387976508182,0.05999999533854157
Corey Anderson,2017-03-18,1808.0866306893865,143.62670054464846,0.05999995832168419
Corey Anderson,2017-11-04,1775.1368702802856,135.5576867376367,0.059999915173733306
Corey Anderson,2018-04-21,1746.6619976614818,128.48924145099647,0.059999865842473125
Corey Anderson,2018-07-22,1796.3050486281527,122.34343413456583,0.05999987986122203
Corey Anderson,2018-12-29,1857.7700156632998,118.55102217273607,0.05999997914381458
Corey Anderson,2019-11-02,1896.0350978447937,113.61667162548274,0.05999997914381458
Corey Anderson,2020-02-15,1928.4386886535767,109.69935482882241,0.05999997914381458
Corey Hill,2008-01-23,1500.0,350.0,0.06
Corey Hill,2008-07-05,1616.6419220364894,286.927208833499,0.059999967419196366
Corey Hill,2008-12-10,1404.5820455686999,253.13141916029704,0.06000007685027201
Corinne Laframboise,2024-09-10,1500.0,350.0,0.06
Cortavious Romious,2023-10-10,1500.0,350.0,0.06
Cortavious Romious,2024-08-20,1268.115102149579,286.9272091102572,0.06000006469112045
Cortavious Romious,2024-11-09,1448.0438208038386,256.5970686143494,0.06000011200479121
Cortavious Romious,2025-04-05,1339.3339304104381,222.26293653407123,0.06000011200479121
Cortney Casey,2015-07-18,1500.0,350.0,0.06
Cortney Casey,2015-11-28,1329.1278253581404,275.86129983280114,0.06
Cortney Casey,2016-07-13,1211.04566511827,238.3589853690008,0.06
Cortney Casey,2016-08-20,1342.2938583256828,214.31514247656915,0.06000002233255724
Cortney Casey,2016-11-19,1477.420660573324,195.09134534970434,0.060000122101973724
Cortney Casey,2017-05-13,1421.9208243084663,178.0828896746724,0.06000008475901359
Cortney Casey,2017-12-02,1471.8253235175098,166.6851717675608,0.06000008475901359
Cortney Casey,2018-04-14,1447.1343740037817,158.52482623786707,0.06000003599191004
Cortney Casey,2018-08-25,1425.1231591340268,151.48894398553892,0.05999998655389541
Cortney Casey,2019-02-17,1478.9415090344762,141.57604238306615,0.05999998655389541
Cortney Casey,2020-05-16,1461.410556946964,136.77183991822682,0.059999938047000316
Cortney Casey,2020-06-20,1500.707213296902,129.85700234151633,0.059999938047000316
Cortney Casey,2021-03-13,1477.2837146672625,124.80808275718998,0.05999988855046969
Cortney Casey,2021-11-13,1452.6721145115146,119.82653365700162,0.059999840005270824
Cortney Casey,2022-07-09,1475.699349093402,115.9753799532954,0.05999980219791602
Cory Devela,2008-02-23,1500.0,350.0,0.06
Cory Devela,2008-09-20,1807.540390373571,276.06720682833105,0.06000018570694264
Cory Devela,2009-06-19,1547.8934042836054,244.9152120077753,0.06000031384341632
Cory Hendricks,2016-07-08,1500.0,350.0,0.06
Cory McKenna,2020-08-11,1500.0,350.0,0.06
Cory McKenna,2020-11-14,1662.3108949760367,290.3189646746798,0.059999999975475136
Cory McKenna,2022-03-19,1791.9345550780479,247.46328287569406,0.059999999975475136
Cory McKenna,2022-08-06,1578.822586740002,233.21351903169622,0.060000152661442416
Cory McKenna,2022-12-17,1625.2267516741927,212.54905106754964,0.060000108458326956
Cory McKenna,2024-03-16,1714.9749988741207,189.12465832603283,0.060000108458326956
Cory McKenna,2024-10-12,1612.5792258909448,176.32220380975025,0.060000173639853445
Cory Peterson,2004-02-01,1500.0,350.0,0.06
Cory Sandhagen,2018-01-27,1500.0,350.0,0.06
Cory Sandhagen,2018-08-25,1616.6419220364894,286.927208833499,0.059999967419196366
Cory Sandhagen,2019-01-19,1824.755017544749,233.8015536328184,0.06000007651606713
