fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
e5cb9dfc1189d77d,Kyler Phillips,1,44,0,0,0,1,30,68,31,69,0,2,30,68,14,48,9,13,7,7,26,63,4,5,0,0,11
e5cb9dfc1189d77d,Kyler Phillips,0,37,100,0,0,2,22,58,29,66,1,1,22,58,16,51,3,4,3,3,17,51,1,2,4,5,36
e5cb9dfc1189d77d,Kyler Phillips,0,32,0,0,0,3,20,61,20,61,0,1,20,61,10,47,6,9,4,5,19,60,1,1,0,0,0
e5cb9dfc1189d77d,Raoni Barcelos,0,39,27,0,0,0,46,116,52,124,3,11,,,,,,,,,,,,,,,102
e5cb9dfc1189d77d,Raoni Barcelos,0,40,33,0,0,1,18,45,20,48,1,3,18,45,12,38,4,4,2,3,13,37,5,7,0,1,30
e5cb9dfc1189d77d,Raoni Barcelos,0,33,20,0,0,2,9,27,11,30,1,5,9,27,2,20,5,5,2,2,8,26,1,1,0,0,54
e5cb9dfc1189d77d,Raoni Barcelos,0,43,33,0,0,3,19,44,21,46,1,3,19,44,6,29,6,8,7,7,18,42,1,2,0,0,18
90eb22b9eb6ed2a8,Kyle Daukaus,0,52,28,1,0,0,64,122,113,183,2,7,,,,,,,,,,,,,,,520
90eb22b9eb6ed2a8,Kyle Daukaus,0,58,33,0,0,1,10,17,25,36,1,3,10,17,9,14,1,2,0,1,2,6,1,1,7,10,206
90eb22b9eb6ed2a8,Kyle Daukaus,0,50,0,0,0,2,17,34,37,58,0,3,17,34,16,32,1,2,0,0,14,28,3,6,0,0,143
90eb22b9eb6ed2a8,Kyle Daukaus,0,52,100,1,0,3,37,71,51,89,1,1,37,71,31,65,5,5,1,1,22,51,10,10,5,10,171
90eb22b9eb6ed2a8,Dustin Stoltzfus,0,50,0,0,1,0,32,63,95,130,0,7,,,,,,,,,,,,,,,121
90eb22b9eb6ed2a8,Dustin Stoltzfus,0,88,0,0,1,1,8,9,40,44,0,1,8,9,3,3,2,3,3,3,4,5,3,3,1,1,39
90eb22b9eb6ed2a8,Dustin Stoltzfus,0,41,0,0,0,2,13,31,36,54,0,2,13,31,5,21,4,5,4,5,6,23,7,8,0,0,37
90eb22b9eb6ed2a8,Dustin Stoltzfus,0,47,0,0,0,3,11,23,19,32,0,4,11,23,6,17,2,3,3,3,8,19,3,4,0,0,45
bce8ece2ff26b4d4,Nate Landwehr,0,41,50,1,0,0,64,153,68,160,1,2,,,,,,,,,,,,,,,24
bce8ece2ff26b4d4,Nate Landwehr,0,43,0,0,0,1,34,78,34,78,0,1,34,78,20,52,2,9,12,17,34,78,0,0,0,0,0
bce8ece2ff26b4d4,Nate Landwehr,0,40,100,1,0,2,30,75,34,82,1,1,30,75,16,52,7,16,7,7,27,70,0,1,3,4,24
bce8ece2ff26b4d4,Austin Lingo,0,32,,0,0,0,48,146,50,148,0,0,,,,,,,,,,,,,,,0
bce8ece2ff26b4d4,Austin Lingo,0,32,,0,0,1,30,91,31,92,0,0,30,91,19,75,8,12,3,4,30,91,0,0,0,0,0
bce8ece2ff26b4d4,Austin Lingo,0,32,,0,0,2,18,55,19,56,0,0,18,55,9,41,9,14,0,0,18,55,0,0,0,0,0
8f00da6ea8186ce2,Bryan Battle,0,18,0,0,0,0,3,16,25,42,0,1,,,,,,,,,,,,,,,0
8f00da6ea8186ce2,Bryan Battle,0,33,,0,0,1,1,3,3,5,0,0,1,3,1,2,0,1,0,0,1,3,0,0,0,0,0
8f00da6ea8186ce2,Bryan Battle,0,20,,0,0,2,1,5,12,18,0,0,1,5,0,4,1,1,0,0,1,5,0,0,0,0,0
8f00da6ea8186ce2,Bryan Battle,0,12,0,0,0,3,1,8,10,19,0,1,1,8,0,5,0,2,1,1,1,8,0,0,0,0,0
8f00da6ea8186ce2,Rinat Fakhretdinov,1,63,77,0,0,0,43,68,102,149,7,9,,,,,,,,,,,,,,,851
8f00da6ea8186ce2,Rinat Fakhretdinov,0,63,66,0,0,1,19,30,37,52,2,3,19,30,16,27,1,1,2,2,4,5,0,0,15,25,281
8f00da6ea8186ce2,Rinat Fakhretdinov,0,66,66,0,0,2,10,15,30,42,2,3,10,15,9,14,1,1,0,0,2,3,0,0,8,12,289
8f00da6ea8186ce2,Rinat Fakhretdinov,1,60,100,0,0,3,14,23,35,55,3,3,14,23,13,21,0,1,1,1,2,3,2,3,10,17,281
212527d462690304,Mateusz Gamrot,0,59,54,0,0,0,65,110,142,224,6,11,,,,,,,,,,,,,,,525
212527d462690304,Mateusz Gamrot,0,52,57,0,0,1,10,19,27,43,4,7,10,19,3,12,4,4,3,3,4,13,2,2,4,4,186
212527d462690304,Mateusz Gamrot,0,65,100,0,0,2,17,26,46,73,1,1,17,26,15,24,1,1,1,1,4,7,0,1,13,18,245
212527d462690304,Mateusz Gamrot,0,58,33,0,0,3,38,65,69,108,1,3,38,65,35,62,2,2,1,1,30,53,1,1,7,11,94
212527d462690304,Ludovit Klein,0,32,,0,0,0,24,74,85,145,0,0,,,,,,,,,,,,,,,23
212527d462690304,Ludovit Klein,0,14,,0,0,1,2,14,6,19,0,0,2,14,2,11,0,3,0,0,2,14,0,0,0,0,0
212527d462690304,Ludovit Klein,0,18,,0,0,2,2,11,48,63,0,0,2,11,1,7,1,3,0,1,2,11,0,0,0,0,0
212527d462690304,Ludovit Klein,0,40,,0,0,3,20,49,31,63,0,0,20,49,7,31,12,17,1,1,19,48,1,1,0,0,23
4bf0be780f2d09be,Tiago dos Santos e Silva,0,28,8,0,0,0,56,200,57,201,1,12,,,,,,,,,,,,,,,113
4bf0be780f2d09be,Tiago dos Santos e Silva,0,32,14,0,0,1,13,40,14,41,1,7,13,40,8,30,5,9,0,1,9,31,4,9,0,0,98
4bf0be780f2d09be,Tiago dos Santos e Silva,0,25,0,0,0,2,16,62,16,62,0,4,16,62,10,53,5,7,1,2,14,55,2,7,0,0,15
4bf0be780f2d09be,Tiago dos Santos e Silva,0,27,0,0,0,3,27,98,27,98,0,1,27,98,15,77,5,11,7,10,26,95,1,3,0,0,0
4bf0be780f2d09be,Shane Burgos,1,38,100,0,0,0,73,189,87,216,1,1,,,,,,,,,,,,,,,86
4bf0be780f2d09be,Shane Burgos,0,22,,0,0,1,7,31,14,49,0,0,7,31,5,28,1,2,1,1,5,27,2,4,0,0,0
4bf0be780f2d09be,Shane Burgos,1,46,,0,0,2,34,73,39,79,0,0,34,73,28,67,5,5,1,1,15,48,8,8,11,17,48
4bf0be780f2d09be,Shane Burgos,0,37,100,0,0,3,32,85,34,88,1,1,32,85,29,79,3,6,0,0,30,83,0,0,2,2,38
cad44cd2466fb68f,Joe Soto,0,11,,0,0,0,1,9,1,9,0,0,,,,,,,,,,,,,,,0
cad44cd2466fb68f,Joe Soto,0,11,,0,0,1,1,9,1,9,0,0,1,9,1,7,0,0,0,2,1,8,0,1,0,0,0
cad44cd2466fb68f,Anthony Birchak,2,41,,0,0,0,16,39,18,41,0,0,,,,,,,,,,,,,,,8
cad44cd2466fb68f,Anthony Birchak,2,41,,0,0,1,16,39,18,41,0,0,16,39,11,32,2,3,3,4,5,20,9,15,2,4,8
0f215b143e08f425,Darren Uyenoyama,0,46,20,0,0,0,33,71,50,92,2,10,,,,,,,,,,,,,,,72
0f215b143e08f425,Darren Uyenoyama,0,46,50,0,0,1,6,13,10,17,2,4,6,13,2,8,2,2,2,3,5,12,1,1,0,0,72
0f215b143e08f425,Darren Uyenoyama,0,45,0,0,0,2,9,20,19,33,0,5,9,20,2,11,2,4,5,5,9,20,0,0,0,0,0
0f215b143e08f425,Darren Uyenoyama,0,47,0,0,0,3,18,38,21,42,0,1,18,38,13,30,4,7,1,1,11,31,2,2,5,5,0
0f215b143e08f425,Alptekin Ozkilic,0,23,100,0,0,0,27,116,44,141,3,3,,,,,,,,,,,,,,,381
0f215b143e08f425,Alptekin Ozkilic,0,23,100,0,0,1,4,17,11,27,1,1,4,17,1,13,1,2,2,2,2,11,0,0,2,6,111
0f215b143e08f425,Alptekin Ozkilic,0,12,,0,0,2,4,33,7,38,0,0,4,33,3,27,0,4,1,2,3,25,0,0,1,8,146
0f215b143e08f425,Alptekin Ozkilic,0,28,100,0,0,3,19,66,26,76,2,2,19,66,10,52,4,9,5,5,17,61,2,3,0,2,124
539a550c0c1acd3e,Joshua Burkman,0,55,75,0,1,0,27,49,69,94,9,12,,,,,,,,,,,,,,,736
539a550c0c1acd3e,Joshua Burkman,0,60,100,0,0,1,12,20,40,48,3,3,12,20,11,19,0,0,1,1,2,4,3,3,7,13,268
539a550c0c1acd3e,Joshua Burkman,0,53,100,0,1,2,7,13,11,18,3,3,7,13,2,8,1,1,4,4,2,5,2,2,3,6,197
