fight_id,round_finished,round_total,round_time_sec,fighter_id,result,event,stoppage_time_sec,opponent_name,fighter_name,method_type,method_specific
b977ffcc6428046f,1,3,300,399afbabc02376b5,win,UFC Fight Night: Brunson vs. Till,150,Serghei Spivac,Tom Aspinall,KO/TKO,Elbow
b977ffcc6428046f,1,3,300,e2f6b2769aaedd6c,loss,UFC Fight Night: Brunson vs. Till,150,Tom Aspinall,Serghei Spivac,KO/TKO,Elbow
c13b2493018fc98b,3,3,300,9eb069062a0cfc13,loss,UFC Fight Night: Edgar vs Faber,300,Yao Zhikui,Nolan Ticman,S-DEC,
c13b2493018fc98b,3,3,300,5ea918ea81b7dee2,win,UFC Fight Night: Edgar vs Faber,300,Nolan Ticman,Yao Zhikui,S-DEC,
d6945828f5fa7492,1,3,300,1091d4d957141094,win,UFC Fight Night: Yan vs. Dvalishvili,218,Ryan Spann,Nikita Krylov,SUB,Triangle Choke
d6945828f5fa7492,1,3,300,a67f5afa8d6a1b80,loss,UFC Fight Night: Yan vs. Dvalishvili,218,Nikita Krylov,Ryan Spann,SUB,Triangle Choke
0820a29a03d58282,3,3,300,6c8072b61c276e67,win,UFC Fight Night: Stephens vs. Choi,300,Paige VanZant,Jessica-Rose Clark,U-DEC,
0820a29a03d58282,3,3,300,4d5197f331c47290,loss,UFC Fight Night: Stephens vs. Choi,300,Jessica-Rose Clark,Paige VanZant,U-DEC,
e9390cff6e5d52d0,1,3,300,ccd1299e0345e0ce,loss,UFC Fight Night: Stevenson vs Guillard,27,Joe Stevenson,Melvin Guillard,SUB,Guillotine Choke
e9390cff6e5d52d0,1,3,300,79899ecf62020f6d,win,UFC Fight Night: Stevenson vs Guillard,27,Melvin Guillard,Joe Stevenson,SUB,Guillotine Choke
4faa30eab9089d71,3,3,300,4f95f74620a6b7a4,win,UFC Fight Night: Sanchez vs Riggs,300,Victor Valimaki,David Heath,S-DEC,
4faa30eab9089d71,3,3,300,663b76da637402c3,loss,UFC Fight Night: Sanchez vs Riggs,300,David Heath,Victor Valimaki,S-DEC,
16a05f3c4a765f65,3,3,300,b8592b4a383696cd,loss,UFC Fight Night: Iaquinta vs. Cowboy,300,Cole Smith,Mitch Gagnon,U-DEC,
16a05f3c4a765f65,3,3,300,56709e66f1c6008f,win,UFC Fight Night: Iaquinta vs. Cowboy,300,Mitch Gagnon,Cole Smith,U-DEC,
b6d027c60f879e4a,3,3,300,7c6e87729e824ef4,win,UFC on FUEL TV: Nogueira vs. Werdum,300,Leandro Silva,Ildemar Alcantara,U-DEC,
